image_path,class_name,width,height,mode,file_size_kb,split
Mehsana Buffalo/9.jpg,Mehsana Buffalo,256,256,RGB,35.8,train
Kankrej Cow/138.jpg,Kankrej Cow,256,256,RGB,38.1,train
Bargur Cow/2.jpg,Bargur Cow,256,256,RGB,50.1,train
Tharparkar Cow/108.jpg,Tharparkar Cow,256,256,RGB,27.9,train
Shurti Buffalo/50.jpg,Shurti Buffalo,256,256,RGB,23.5,train
Sahiwal Cow/177.jpg,Sahiwal Cow,256,256,RGB,19.2,train
Kenkatha Cow/12.jpg,Kenkatha Cow,256,256,RGB,35.9,train
Kasaragod Cow/9.jpg,Kasaragod Cow,256,256,RGB,23.6,train
Alambadi Cow/52.jpg,Alambadi Cow,256,256,RGB,13.5,train
Amritmahal Cow/28.jpg,Amritmahal Cow,256,256,RGB,31.9,train
Kangayam Cow/89.jpg,Kangayam Cow,256,256,RGB,34.3,train
Rathi Cow/122.jpg,Rathi Cow,256,256,RGB,39.4,train
Tharparkar Cow/121.jpg,Tharparkar Cow,256,256,RGB,21.3,train
Nimari Cow/37.jpg,Nimari Cow,256,256,RGB,44.0,train
Umblachery Cow/74.jpg,Umblachery Cow,256,256,RGB,52.9,train
Nimari Cow/36.jpg,Nimari Cow,256,256,RGB,35.7,train
Gir Cow/209.jpg,Gir Cow,256,256,RGB,40.0,train
Shurti Buffalo/3.jpg,Shurti Buffalo,256,256,RGB,21.3,train
Mehsana Buffalo/76.jpg,Mehsana Buffalo,256,256,RGB,32.1,train
Nagpuri Buffalo/137.jpg,Nagpuri Buffalo,256,256,RGB,22.3,train
Nagpuri Buffalo/139.jpg,Nagpuri Buffalo,256,256,RGB,29.8,train
Nagpuri Buffalo/92.jpg,Nagpuri Buffalo,256,256,RGB,39.9,train
Gir Cow/17.jpg,Gir Cow,256,256,RGB,35.3,train
Sahiwal Cow/226.jpg,Sahiwal Cow,256,256,RGB,29.0,train
Sahiwal Cow/144.jpg,Sahiwal Cow,256,256,RGB,43.2,train
Nili ravi Buffalo/41.jpg,Nili ravi Buffalo,256,256,RGB,28.5,train
Tharparkar Cow/50.jpg,Tharparkar Cow,256,256,RGB,24.8,train
Hallikar Cow/117.jpg,Hallikar Cow,256,256,RGB,31.5,train
Gir Cow/120.jpg,Gir Cow,256,256,RGB,31.0,train
Hallikar Cow/67.jpg,Hallikar Cow,256,256,RGB,23.9,train
Kasaragod Cow/30.jpg,Kasaragod Cow,256,256,RGB,23.4,train
Nili ravi Buffalo/19.jpg,Nili ravi Buffalo,256,256,RGB,26.4,train
Gir Cow/226.jpg,Gir Cow,256,256,RGB,24.8,train
Kankrej Cow/122.jpg,Kankrej Cow,256,256,RGB,26.6,train
Dangi Cow/47.jpg,Dangi Cow,256,256,RGB,36.4,train
Nagpuri Buffalo/183.jpg,Nagpuri Buffalo,256,256,RGB,16.8,train
Kankrej Cow/117.jpg,Kankrej Cow,256,256,RGB,30.5,train
Tharparkar Cow/63.jpg,Tharparkar Cow,256,256,RGB,33.9,train
Amritmahal Cow/45.jpg,Amritmahal Cow,256,256,RGB,18.6,train
Nili ravi Buffalo/64.jpg,Nili ravi Buffalo,256,256,RGB,40.8,train
Nagpuri Buffalo/189.jpg,Nagpuri Buffalo,256,256,RGB,22.6,train
Kankrej Cow/103.jpg,Kankrej Cow,256,256,RGB,36.7,train
Pulikulam Cow/86.jpg,Pulikulam Cow,256,256,RGB,27.8,train
Kangayam Cow/78.jpg,Kangayam Cow,256,256,RGB,25.8,train
Tharparkar Cow/192.jpg,Tharparkar Cow,256,256,RGB,29.2,train
Pulikulam Cow/3.jpg,Pulikulam Cow,256,256,RGB,48.9,train
Sahiwal Cow/122.jpg,Sahiwal Cow,256,256,RGB,33.2,train
Umblachery Cow/5.jpg,Umblachery Cow,256,256,RGB,38.5,train
Gir Cow/239.jpg,Gir Cow,256,256,RGB,34.7,train
Pulikulam Cow/9.jpg,Pulikulam Cow,256,256,RGB,49.7,train
Alambadi Cow/8.jpg,Alambadi Cow,256,256,RGB,38.7,train
Rathi Cow/72.jpg,Rathi Cow,256,256,RGB,31.2,train
Malnad gidda Cow/32.jpg,Malnad gidda Cow,256,256,RGB,43.3,train
Gir Cow/65.jpg,Gir Cow,256,256,RGB,30.2,train
Gir Cow/208.jpg,Gir Cow,256,256,RGB,26.8,train
